Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1150
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_float_TN,tn_3072_256_3072_ld_3072_3072_3072,Gemm_Rocblas_-674,2.54539
GemmTunableOp_float_TN,tn_256_36864_256_ld_256_256_256,Gemm_Rocblas_-675,2.68298
GemmTunableOp_float_NN,nn_256_3072_256_ld_256_256_256,Gemm_Rocblas_-198,0.254535
GemmTunableOp_float_NN,nn_624_3072_3072_ld_624_3072_624,Gemm_Rocblas_-199,6.70669
GemmTunableOp_float_TT,tt_624_3072_3072_ld_3072_3072_624,Gemm_Rocblas_-459,6.43526
GemmTunableOp_float_TN,tn_624_3072_3072_ld_3072_3072_624,Gemm_Rocblas_-675,5.43344
GemmTunableOp_float_NN,nn_3072_624_3072_ld_3072_3072_3072,Gemm_Rocblas_-199,6.06112
GemmTunableOp_float_TT,tt_624_3072_624_ld_624_3072_624,Gemm_Rocblas_-458,1.17965
GemmTunableOp_float_NT,nt_3072_614_3072_ld_3072_624_3072,Gemm_Rocblas_-108,3.77032
GemmTunableOp_float_TN,tn_614_614_3072_ld_3072_3072_614,Gemm_Rocblas_-675,1.31478
GemmTunableOp_float_NN,nn_3072_614_614_ld_3072_614_3072,Gemm_Rocblas_-199,1.09487
GemmTunableOp_float_NN,nn_3072_3072_614_ld_3072_624_3072,Gemm_Rocblas_-198,5.92515
GemmTunableOp_float_NT,nt_3072_3072_256_ld_3072_3072_3072,Gemm_Rocblas_-108,1.86809
GemmTunableOp_float_TN,tn_9216_256_3072_ld_3072_3072_9216,Gemm_Rocblas_-675,7.18484
GemmTunableOp_float_TN,tn_256_110592_256_ld_256_256_256,Gemm_Rocblas_-675,6.88578
GemmTunableOp_float_NN,nn_624_9216_3072_ld_624_3072_624,Gemm_Rocblas_-198,19.9622
GemmTunableOp_float_TT,tt_624_3072_9216_ld_9216_3072_624,Gemm_Rocblas_-459,17.1505
GemmTunableOp_float_TN,tn_624_9216_3072_ld_3072_3072_624,Gemm_Rocblas_-675,19.0477
GemmTunableOp_float_NN,nn_3072_624_9216_ld_3072_9216_3072,Gemm_Rocblas_-199,18.0449
GemmTunableOp_float_TT,tt_624_9216_624_ld_624_9216_624,Gemm_Rocblas_-458,3.72365
GemmTunableOp_float_NT,nt_3072_614_9216_ld_3072_624_3072,Gemm_Rocblas_-109,12.6963
GemmTunableOp_float_NN,nn_3072_9216_614_ld_3072_624_3072,Gemm_Rocblas_-198,17.8084
GemmTunableOp_float_NT,nt_3072_9216_256_ld_3072_9216_3072,Gemm_Rocblas_-108,5.73248
GemmTunableOp_float_TN,tn_27648_256_3072_ld_3072_3072_27648,Gemm_Rocblas_-675,22.1209
GemmTunableOp_float_TN,tn_256_331776_256_ld_256_256_256,Gemm_Rocblas_-674,41.644
GemmTunableOp_float_NN,nn_624_27648_3072_ld_624_3072_624,Gemm_Rocblas_-199,57.9027
GemmTunableOp_float_TT,tt_624_3072_27648_ld_27648_3072_624,Gemm_Rocblas_-458,54.6691
GemmTunableOp_float_TN,tn_624_27648_3072_ld_3072_3072_624,Gemm_Rocblas_-674,60.4022
GemmTunableOp_float_NN,nn_3072_624_27648_ld_3072_27648_3072,Gemm_Rocblas_-198,55.6916
GemmTunableOp_float_TT,tt_624_27648_624_ld_624_27648_624,Gemm_Rocblas_-459,11.1612
GemmTunableOp_float_NT,nt_3072_614_27648_ld_3072_624_3072,Gemm_Rocblas_-109,38.3778
GemmTunableOp_float_NN,nn_3072_27648_614_ld_3072_624_3072,Gemm_Rocblas_-199,52.5584
GemmTunableOp_float_NT,nt_3072_27648_256_ld_3072_27648_3072,Gemm_Rocblas_-109,17.5006
GemmTunableOp_float_TN,tn_3072_256_12288_ld_12288_12288_3072,Gemm_Rocblas_-675,12.4709
GemmTunableOp_float_TN,tn_256_147456_256_ld_256_256_256,Gemm_Rocblas_-675,13.9528
GemmTunableOp_float_NN,nn_256_12288_256_ld_256_256_256,Gemm_Rocblas_-198,0.950843
GemmTunableOp_float_NT,nt_624_12288_3072_ld_624_12288_624,Gemm_Rocblas_-108,18.1478
GemmTunableOp_float_TN,tn_624_3072_12288_ld_12288_12288_624,Gemm_Rocblas_-674,30.1484
GemmTunableOp_float_TT,tt_624_12288_3072_ld_3072_12288_624,Gemm_Rocblas_-458,24.7318
GemmTunableOp_float_TN,tn_3072_624_12288_ld_12288_12288_3072,Gemm_Rocblas_-675,30.5362
GemmTunableOp_float_TT,tt_624_12288_624_ld_624_12288_624,Gemm_Rocblas_-459,5.20757
GemmTunableOp_float_NN,nn_12288_614_3072_ld_12288_3072_12288,Gemm_Rocblas_-198,26.2713
GemmTunableOp_float_NN,nn_614_614_12288_ld_624_12288_614,Gemm_Rocblas_-199,5.97329
GemmTunableOp_float_TN,tn_12288_614_614_ld_624_614_12288,Gemm_Rocblas_-675,4.59539
GemmTunableOp_float_NT,nt_12288_3072_614_ld_12288_3072_12288,Gemm_Rocblas_-109,17.8831
GemmTunableOp_float_NT,nt_12288_3072_256_ld_12288_3072_12288,Gemm_Rocblas_-108,7.24369
GemmTunableOp_float_NN,nn_256_36864_256_ld_256_256_256,Gemm_Rocblas_-199,2.54314
GemmTunableOp_float_TN,tn_3072_3072_3072_ld_3072_3072_3072,Gemm_Rocblas_-674,26.8394
GemmTunableOp_float_NT,nt_3072_3072_3072_ld_3072_3072_3072,Gemm_Rocblas_-108,19.631
GemmTunableOp_float_TN,tn_9216_3072_3072_ld_3072_3072_9216,Gemm_Rocblas_-674,89.2999
